epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.4812,0.94679,2.47486,1.37136,0.62034,0.60399,0.63557,0.40463,0.99312,1.87888,1.54316,0.000367959,0.000367959,0.000367959
2,96.004,1.00055,1.86702,1.39402,0.43865,0.49083,0.43149,0.24347,1.16713,2.46814,1.70442,0.000730984,0.000730984,0.000730984
3,142.436,1.04303,1.67272,1.40487,0.52674,0.55202,0.50819,0.28073,1.2253,2.0551,1.82885,0.00108668,0.00108668,0.00108668
4,187.616,1.04297,1.54591,1.40538,0.55178,0.48826,0.5105,0.2857,1.3068,1.91746,1.86736,0.001078,0.001078,0.001078
5,233.78,1.02207,1.45607,1.38595,0.77901,0.61472,0.72154,0.48992,0.97347,1.42048,1.49642,0.001067,0.001067,0.001067
6,278.581,0.9864,1.31429,1.35784,0.71848,0.71621,0.74291,0.49077,1.03111,1.28856,1.52806,0.00105601,0.00105601,0.00105601
7,324.576,0.94715,1.2142,1.33043,0.68723,0.64658,0.70166,0.45691,1.08979,1.43226,1.65517,0.00104501,0.00104501,0.00104501
8,369.642,0.95328,1.16564,1.33689,0.74189,0.73224,0.79333,0.54818,0.97142,1.11788,1.49663,0.00103401,0.00103401,0.00103401
9,415.596,0.93683,1.13454,1.32025,0.70513,0.73046,0.75322,0.50906,0.99084,1.27653,1.47415,0.00102301,0.00102301,0.00102301
10,460.12,0.90457,1.07552,1.29706,0.77494,0.75261,0.79941,0.54107,0.98284,1.10388,1.48745,0.00101201,0.00101201,0.00101201
11,505.552,0.89255,1.048,1.28641,0.7992,0.68028,0.79698,0.55818,0.91297,1.1103,1.41688,0.00100101,0.00100101,0.00100101
12,550.46,0.86091,0.96837,1.26633,0.79236,0.73606,0.79939,0.58752,0.85185,1.03544,1.36332,0.000990012,0.000990012,0.000990012
13,595.089,0.87001,0.9624,1.27528,0.82303,0.7658,0.8268,0.60852,0.87734,0.99098,1.39045,0.000979013,0.000979013,0.000979013
14,640.794,0.85447,0.94361,1.25801,0.85578,0.77456,0.85094,0.61305,0.85376,0.92281,1.38173,0.000968014,0.000968014,0.000968014
15,685.243,0.86417,0.9003,1.26481,0.79105,0.75359,0.81159,0.58062,0.87797,1.05267,1.38708,0.000957015,0.000957015,0.000957015
16,730.561,0.83478,0.89044,1.2464,0.88258,0.80222,0.88532,0.65764,0.80257,0.82793,1.32704,0.000946016,0.000946016,0.000946016
17,775.048,0.82213,0.84481,1.2397,0.78128,0.77901,0.82883,0.62798,0.81752,0.91369,1.32913,0.000935018,0.000935018,0.000935018
18,820.389,0.80113,0.83358,1.22397,0.76319,0.80542,0.83755,0.63288,0.80661,0.94829,1.30682,0.000924019,0.000924019,0.000924019
19,864.974,0.81196,0.81219,1.23458,0.84688,0.8029,0.88312,0.64996,0.83445,0.82627,1.32517,0.00091302,0.00091302,0.00091302
20,910.482,0.7964,0.79061,1.21639,0.84424,0.84342,0.89147,0.66385,0.80829,0.74909,1.30516,0.000902021,0.000902021,0.000902021
21,955.155,0.79662,0.77435,1.20931,0.8908,0.83401,0.89659,0.66507,0.8178,0.71899,1.32646,0.000891022,0.000891022,0.000891022
22,1000.36,0.79036,0.75308,1.20578,0.80151,0.82062,0.85475,0.62514,0.8401,0.84472,1.35133,0.000880023,0.000880023,0.000880023
23,1044.57,0.77192,0.74329,1.20422,0.81978,0.82446,0.87361,0.66607,0.77713,0.91774,1.28654,0.000869024,0.000869024,0.000869024
24,1089.2,0.76217,0.72355,1.18794,0.87781,0.82059,0.88779,0.66877,0.79303,0.73102,1.3105,0.000858025,0.000858025,0.000858025
25,1134.98,0.76629,0.7209,1.19093,0.85666,0.83238,0.89257,0.66744,0.79647,0.77878,1.2874,0.000847026,0.000847026,0.000847026
26,1179.67,0.75441,0.71814,1.19098,0.85161,0.84807,0.89775,0.66953,0.79766,0.71293,1.32127,0.000836027,0.000836027,0.000836027
27,1225.93,0.76724,0.71073,1.20014,0.86366,0.82863,0.87444,0.66056,0.78688,0.72613,1.27515,0.000825029,0.000825029,0.000825029
28,1270.51,0.74116,0.69106,1.17837,0.84329,0.83459,0.89516,0.67475,0.77346,0.70757,1.27118,0.00081403,0.00081403,0.00081403
29,1315.81,0.72796,0.66434,1.1704,0.85177,0.84298,0.88253,0.66023,0.79835,0.73869,1.30503,0.000803031,0.000803031,0.000803031
30,1360.51,0.71867,0.6488,1.16368,0.85934,0.85849,0.89731,0.69571,0.76841,0.68,1.28366,0.000792032,0.000792032,0.000792032
31,1406.21,0.70955,0.63446,1.15875,0.8858,0.82395,0.8756,0.67963,0.75671,0.72778,1.25252,0.000781033,0.000781033,0.000781033
32,1450.76,0.72483,0.6504,1.1612,0.79707,0.87995,0.89645,0.70198,0.73195,0.6706,1.25358,0.000770034,0.000770034,0.000770034
33,1495.92,0.73028,0.6226,1.16966,0.83021,0.8099,0.86647,0.66889,0.79148,0.74431,1.31229,0.000759035,0.000759035,0.000759035
34,1541.11,0.71003,0.62083,1.15799,0.88141,0.85601,0.88963,0.69416,0.73088,0.67969,1.24697,0.000748036,0.000748036,0.000748036
35,1585.73,0.71804,0.61239,1.16543,0.85795,0.84651,0.88794,0.67884,0.7682,0.69738,1.26726,0.000737037,0.000737037,0.000737037
36,1630.5,0.71341,0.60895,1.15965,0.84458,0.81515,0.87888,0.66898,0.77125,0.70234,1.2835,0.000726038,0.000726038,0.000726038
37,1674.23,0.69253,0.59079,1.14873,0.86363,0.83255,0.88879,0.68403,0.74666,0.70299,1.26693,0.00071504,0.00071504,0.00071504
38,1719.74,0.68873,0.5777,1.15379,0.87762,0.8325,0.88015,0.68939,0.74364,0.67764,1.26129,0.000704041,0.000704041,0.000704041
39,1764.35,0.6982,0.58698,1.14879,0.85022,0.8628,0.89851,0.70559,0.75326,0.66686,1.24208,0.000693042,0.000693042,0.000693042
40,1810.33,0.70145,0.60181,1.15086,0.87466,0.88003,0.91826,0.716,0.75541,0.60803,1.2573,0.000682043,0.000682043,0.000682043
41,1855.44,0.68139,0.57092,1.14184,0.88441,0.82279,0.87727,0.69025,0.75504,0.71396,1.27857,0.000671044,0.000671044,0.000671044
42,1901.94,0.66928,0.55722,1.12859,0.90839,0.83099,0.88396,0.6878,0.74845,0.65697,1.26826,0.000660045,0.000660045,0.000660045
43,1946.31,0.68357,0.56333,1.13127,0.88162,0.88649,0.91145,0.71511,0.72281,0.59324,1.23644,0.000649046,0.000649046,0.000649046
44,1991.91,0.66939,0.54614,1.13008,0.86261,0.85287,0.89319,0.70019,0.74257,0.65635,1.25769,0.000638047,0.000638047,0.000638047
45,2036.69,0.66111,0.55811,1.11995,0.89168,0.81888,0.88689,0.69614,0.74472,0.67785,1.26781,0.000627048,0.000627048,0.000627048
46,2081.96,0.66111,0.54053,1.1248,0.87761,0.84611,0.8914,0.6956,0.74077,0.65281,1.27102,0.000616049,0.000616049,0.000616049
47,2126.96,0.65267,0.54929,1.12097,0.8988,0.84529,0.89188,0.692,0.7629,0.64745,1.27356,0.000605051,0.000605051,0.000605051
48,2171,0.64773,0.5259,1.11511,0.90186,0.85942,0.92114,0.73116,0.71258,0.58426,1.22518,0.000594052,0.000594052,0.000594052
49,2216.1,0.63597,0.51923,1.10646,0.8923,0.8436,0.89514,0.7042,0.71678,0.61634,1.24979,0.000583053,0.000583053,0.000583053
50,2260.3,0.6479,0.52878,1.11794,0.88381,0.86414,0.90862,0.71231,0.74278,0.62484,1.25216,0.000572054,0.000572054,0.000572054
51,2306.02,0.64543,0.51586,1.11551,0.92362,0.87147,0.90902,0.7163,0.73673,0.61134,1.2448,0.000561055,0.000561055,0.000561055
52,2351.12,0.62562,0.49686,1.10602,0.91171,0.83651,0.90739,0.71619,0.72891,0.6333,1.24366,0.000550056,0.000550056,0.000550056
53,2396.92,0.62165,0.49539,1.10363,0.89889,0.85756,0.90666,0.7219,0.71241,0.62036,1.22482,0.000539057,0.000539057,0.000539057
54,2441.74,0.62674,0.49849,1.10469,0.88284,0.87008,0.90795,0.71957,0.70528,0.61041,1.21484,0.000528058,0.000528058,0.000528058
55,2486.01,0.62541,0.4885,1.10822,0.8976,0.86243,0.90856,0.71984,0.73984,0.62355,1.25368,0.000517059,0.000517059,0.000517059
56,2531.81,0.61478,0.4692,1.09587,0.88333,0.86106,0.90182,0.71135,0.73026,0.62802,1.24503,0.00050606,0.00050606,0.00050606
57,2576.66,0.62335,0.48125,1.10102,0.9018,0.85461,0.89498,0.70193,0.75367,0.65072,1.26992,0.000495062,0.000495062,0.000495062
58,2622.38,0.60988,0.4791,1.09785,0.90776,0.85388,0.90722,0.71017,0.71641,0.58497,1.23106,0.000484063,0.000484063,0.000484063
59,2667.27,0.60683,0.47801,1.09319,0.88352,0.86629,0.88504,0.70529,0.70689,0.63196,1.23096,0.000473064,0.000473064,0.000473064
60,2712.98,0.6028,0.46495,1.08609,0.89593,0.85749,0.90234,0.70324,0.729,0.62453,1.25184,0.000462065,0.000462065,0.000462065
61,2757.73,0.58934,0.45977,1.08535,0.9201,0.86048,0.91236,0.72506,0.70978,0.59814,1.22694,0.000451066,0.000451066,0.000451066
62,2803.41,0.60028,0.45426,1.08953,0.88546,0.87483,0.90389,0.72457,0.71343,0.59713,1.22659,0.000440067,0.000440067,0.000440067
63,2848.2,0.59242,0.45965,1.08406,0.90216,0.85308,0.89914,0.71539,0.70586,0.61743,1.23109,0.000429068,0.000429068,0.000429068
64,2893.94,0.60356,0.46127,1.09271,0.8991,0.84933,0.91372,0.72283,0.69946,0.60557,1.23167,0.000418069,0.000418069,0.000418069
65,2938.92,0.58594,0.4574,1.07371,0.92528,0.87983,0.92299,0.74061,0.69943,0.55299,1.23404,0.00040707,0.00040707,0.00040707
66,2984.79,0.57961,0.44046,1.07666,0.8926,0.84167,0.89716,0.7117,0.71848,0.62065,1.2399,0.000396071,0.000396071,0.000396071
67,3029.64,0.57286,0.42652,1.07134,0.90075,0.86865,0.90426,0.7253,0.70179,0.59442,1.24046,0.000385073,0.000385073,0.000385073
68,3074.5,0.58186,0.43487,1.07968,0.92741,0.86739,0.91162,0.72231,0.71235,0.59499,1.23674,0.000374074,0.000374074,0.000374074
69,3120.52,0.57598,0.44,1.0736,0.90132,0.85872,0.90523,0.7279,0.71003,0.58322,1.23717,0.000363075,0.000363075,0.000363075
70,3164.98,0.56427,0.4228,1.06561,0.90829,0.85803,0.90256,0.7297,0.70943,0.61001,1.26167,0.000352076,0.000352076,0.000352076
71,3210.91,0.56309,0.4235,1.06357,0.9149,0.87135,0.90932,0.72724,0.71095,0.57259,1.23621,0.000341077,0.000341077,0.000341077
72,3255.87,0.55772,0.41616,1.06325,0.90428,0.86758,0.90865,0.73275,0.69776,0.587,1.24554,0.000330078,0.000330078,0.000330078
73,3301.81,0.55666,0.42325,1.05792,0.9113,0.87773,0.91798,0.73262,0.71851,0.5815,1.25077,0.000319079,0.000319079,0.000319079
74,3346.45,0.55607,0.41163,1.06533,0.91371,0.86815,0.90386,0.73238,0.69703,0.58416,1.23294,0.00030808,0.00030808,0.00030808
75,3391.87,0.55475,0.41706,1.0645,0.92911,0.86344,0.91422,0.73396,0.69503,0.5357,1.23638,0.000297081,0.000297081,0.000297081
76,3437.11,0.54582,0.40111,1.06127,0.89624,0.8665,0.91392,0.73807,0.70204,0.54261,1.23961,0.000286083,0.000286083,0.000286083
77,3482.69,0.55179,0.40146,1.06327,0.90472,0.86745,0.91257,0.73295,0.70146,0.55225,1.24048,0.000275084,0.000275084,0.000275084
78,3527.96,0.53641,0.39461,1.0498,0.90385,0.86725,0.90494,0.7281,0.69698,0.57353,1.25042,0.000264085,0.000264085,0.000264085
79,3572.83,0.55106,0.39533,1.05966,0.9013,0.85289,0.89927,0.72609,0.70246,0.58568,1.24686,0.000253086,0.000253086,0.000253086
80,3618.63,0.53978,0.39906,1.04619,0.91052,0.87282,0.9116,0.72598,0.71623,0.56677,1.26485,0.000242087,0.000242087,0.000242087
81,3663.42,0.53331,0.39213,1.04492,0.8968,0.87149,0.91641,0.7314,0.69903,0.57331,1.24437,0.000231088,0.000231088,0.000231088
82,3709.84,0.53073,0.39105,1.05154,0.93227,0.85632,0.91732,0.73713,0.69392,0.55405,1.22748,0.000220089,0.000220089,0.000220089
83,3754.81,0.52154,0.37981,1.04126,0.92016,0.85288,0.90221,0.72256,0.70156,0.57869,1.25446,0.00020909,0.00020909,0.00020909
84,3800.88,0.52188,0.37669,1.04411,0.91449,0.86593,0.90432,0.73328,0.70513,0.55895,1.25699,0.000198091,0.000198091,0.000198091
85,3845.86,0.52594,0.38087,1.04234,0.93214,0.83861,0.90636,0.733,0.68934,0.57871,1.23663,0.000187092,0.000187092,0.000187092
